Time,Average,MvgAvg,Sum,Med
795.966135025,99.67578125,101.250671875,1913775,19.0
796.060328007,99.43671875,101.3508125,1909185,19.0
796.21283102,99.38359375,101.370734375,1908165,19.0
796.264704943,99.290625,101.17815625,1906380,18.0
796.360594988,98.971875,101.033921875,1900260,18.0
796.500931025,99.184375,100.94653125,1904340,19.0
796.593588114,99.184375,100.850640625,1904340,19.0
796.73249507,99.5828125,100.773078125,1911990,18.0
796.882298946,98.95859375,100.68621875,1900005,18.0
797.026567936,99.46328125,100.60175,1909695,19.0
797.16586709,99.80859375,100.53534375,1916325,19.0
797.260607958,99.5828125,100.4753125,1911990,19.0
797.398733139,100.15390625,100.41740625,1922955,19.0
797.493030071,99.78203125,100.36959375,1915815,19.0
797.650599957,99.9015625,100.31859375,1918110,19.0
797.789973021,99.078125,100.2521875,1902300,19.0
797.930367947,99.59609375,100.198796875,1912245,19.0
798.079977036,99.98125,100.156296875,1919640,19.0
798.132786036,100.1671875,100.123625,1923210,19.0
798.233550072,100.4859375,100.095203125,1929330,19.0
798.32815814,102.3453125,100.143546875,1965030,19.5
798.469515085,101.4953125,100.144875,1948710,20.0
798.559272051,102.30546875,100.16134375,1964265,20.0
798.698459148,101.66796875,100.16984375,1952025,19.0
798.848670959,100.778125,100.174890625,1934940,19.0
798.997233152,101.4953125,100.1778125,1948710,19.0
799.147791147,102.0796875,100.19003125,1959930,19.0
799.195945978,101.9203125,100.198265625,1956870,19.0
799.348619938,101.7875,100.213140625,1954320,19.0
799.48974514,101.89375,100.2330625,1956360,19.0
799.631062031,100.02109375,100.218984375,1920405,19.0
799.783065081,100.39296875,100.206765625,1927545,19.0
799.926381111,100.0875,100.187640625,1921680,19.0
800.065485001,100.61875,100.16984375,1931880,19.0
800.159584999,100.26015625,100.158953125,1924995,19.0
800.259937048,100.60546875,100.153640625,1931625,19.0
800.399141073,100.28671875,100.15496875,1925505,19.0
800.498116016,99.4234375,100.135578125,1908930,19.0
800.600520134,99.078125,100.121234375,1902300,19.0
800.699267149,99.3171875,100.101046875,1906890,19.0
800.856675148,94.44296875,99.9886875,1813305,18.0
801.013509989,91.30859375,99.80859375,1753125,17.0
801.082149029,102.27890625,99.85428125,1963755,19.0
801.245914936,97.94921875,99.8165625,1880625,18.0
801.300580978,100.07421875,99.83515625,1921425,18.0
801.451362133,91.97265625,99.6848125,1765875,17.0
801.599785089,102.1859375,99.737671875,1961970,19.0
801.747442007,101.5484375,99.79,1949730,19.0
801.813398123,100.92421875,99.825859375,1937745,19.0
801.878260136,96.22265625,99.76875,1847475,18.0
801.933794975,92.18515625,99.6189375,1769955,17.0
802.026358128,91.6671875,99.463546875,1760010,17.0
802.169316053,102.81015625,99.532078125,1973955,19.0
802.265557051,100.4859375,99.555984375,1929330,19.0
802.358854055,99.609375,99.568734375,1912500,18.0
802.500175953,95.98359375,99.50471875,1842885,18.0
802.645096064,93.5796875,99.392625,1796730,17.0
802.696757078,102.265625,99.44628125,1963500,19.0
802.792659044,99.0515625,99.448140625,1901790,18.0
802.932670116,97.86953125,99.416265625,1879095,18.0
803.025488138,94.76171875,99.315328125,1819425,18.0
803.164480925,93.3671875,99.191015625,1792650,17.0
803.314779997,104.48359375,99.277609375,2006085,20.0
803.4604671,101.66796875,99.315328125,1952025,19.0
803.597607136,96.79375,99.253171875,1858440,18.0
803.745167971,93.22109375,99.13603125,1789845,17.0
803.799865961,101.2296875,99.168703125,1943610,19.0
803.892363071,102.11953125,99.21146875,1960695,19.0
804.030758142,100.89765625,99.226078125,1937235,19.0
804.181329966,104.74921875,99.31134375,2011185,19.0
804.321686029,95.69140625,99.178265625,1837275,17.0
804.461154938,102.8234375,99.204828125,1974210,19.0
804.559999943,96.2359375,99.0834375,1847730,17.0
804.66143012,101.88046875,99.0876875,1956105,18.0
804.759123087,96.15625,98.99525,1846200,18.0
804.898874044,92.9953125,98.82525,1785510,17.0
804.994138956,101.6015625,98.8156875,1950750,19.0
805.132108927,101.45546875,98.806390625,1947945,18.0
805.278785944,99.821875,98.767078125,1916580,18.0
805.332819939,98.95859375,98.708375,1900005,18.0
805.480147123,93.021875,98.568390625,1786020,17.0
805.539173126,93.9515625,98.4395625,1803870,17.0
805.629426956,103.80625,98.5139375,1993080,19.0
805.779510021,101.61484375,98.533859375,1951005,18.0
805.935009003,99.83515625,98.525359375,1916835,19.0
806.025041103,93.22109375,98.377671875,1789845,17.0
806.164833069,104.24453125,98.456828125,2001495,19.0
806.313735008,103.89921875,98.54634375,1994865,20.0
806.424608946,103.92578125,98.643296875,1995375,20.0
806.576934099,104.11171875,98.7391875,1998945,19.0
806.720952988,92.11875,98.692703125,1768680,17.0
806.864684105,100.2734375,98.872,1925250,19.0
806.9582901,100.28671875,98.83215625,1925505,18.0
807.097068071,105.94453125,98.9920625,2034135,20.0
807.246932983,106.39609375,99.1185,2042805,20.0
807.395008087,93.4203125,99.147453125,1793670,17.0
807.545890093,107.95,99.262734375,2072640,20.0
807.601809025,106.99375,99.371640625,2054280,20.0
807.697476149,96.03671875,99.273890625,1843905,17.0
807.79181695,96.32890625,99.276015625,1849515,18.0
807.930521011,105.0015625,99.53234375,2016030,19.0
808.024958134,106.35625,99.826125,2042040,20.0
808.163960934,98.0953125,99.731828125,1883430,18.0
808.259967089,102.19921875,99.76609375,1962225,19.0
808.413979053,100.76484375,99.789203125,1934685,18.0
808.554624081,107.24609375,100.014453125,2059125,20.0
808.695868015,102.0265625,100.183390625,1958910,20.0
808.843467951,100.9375,100.156828125,1938000,19.0
808.905333042,107.03359375,100.31646875,2055045,20.0
808.995274067,106.0640625,100.480359375,2036430,19.0
809.091125965,95.678125,100.4986875,1837020,17.0
809.231421947,93.4203125,100.49975,1793670,17.0
809.345153093,106.39609375,100.538,2042805,20.0
809.492754936,103.52734375,100.5751875,1987725,19.0
809.647956133,96.6078125,100.57146875,1854870,18.0
809.787534952,105.70546875,100.82115625,2029545,19.0
809.929624081,96.88671875,100.734296875,1860225,18.0
810.024640083,105.86484375,100.809203125,2032605,20.0
810.166985035,105.7453125,100.90615625,2030310,19.0
810.258759975,110.59296875,101.02303125,2123385,21.0
810.396532059,109.58359375,101.300875,2104005,20.0
810.543666124,106.7015625,101.3784375,2048670,20.0
810.61228013,106.18359375,101.577390625,2038725,19.0
810.764081001,102.41171875,101.588015625,1966305,19.0
810.857942104,102.478125,101.714453125,1967580,19.0
810.962146997,101.8140625,101.890828125,1954830,19.0
811.057971001,102.5046875,101.908890625,1968090,19.0
811.157413006,102.09296875,101.921640625,1960185,19.0
811.313920975,102.57109375,101.976625,1969365,19.0
811.47163415,101.82734375,102.034,1955085,19.0
811.577059031,101.415625,102.201875,1947180,19.0
811.638770103,101.7078125,102.357,1952790,19.0
811.781872034,101.26953125,102.306265625,1944375,19.0
811.931056023,101.0171875,102.2943125,1939530,19.0
812.026237965,100.990625,102.317421875,1939020,19.0
812.178410053,101.4953125,102.48290625,1948710,19.0
812.244354963,101.7609375,102.433234375,1953810,19.0
812.386175156,102.9296875,102.41384375,1976250,19.0
812.526757002,100.9109375,102.353546875,1937490,19.0
812.664879084,101.00390625,102.291390625,1939275,19.0
812.811748981,101.18984375,102.4728125,1942845,19.0
812.865822077,100.6984375,102.4813125,1933410,19.0
812.958749056,100.65859375,102.48875,1932645,19.0
813.101825953,100.36640625,102.3771875,1927035,19.0
813.190293074,100.8046875,102.265359375,1935450,19.0
813.343965054,100.8578125,102.414109375,1936470,19.0
813.397830963,100.671875,102.268546875,1932900,19.0
813.490744114,99.51640625,102.119,1910715,19.0
813.629622936,99.25078125,102.18328125,1905615,18.0
813.779000044,99.1046875,102.238796875,1902810,18.0
813.919331074,99.2109375,102.122984375,1904850,19.0
814.06219101,98.6265625,101.968390625,1893630,18.0
814.156631947,99.67578125,102.0,1913775,19.0
814.311979055,99.396875,101.943953125,1908420,19.0
814.455569983,98.971875,101.90809375,1900260,18.0
814.595978975,98.34765625,101.730125,1888275,18.0
814.690575123,98.02890625,101.650171875,1882155,18.0
814.842699051,98.26796875,101.59678125,1886745,18.0
814.89369607,97.41796875,101.40446875,1870425,18.0
814.990093946,97.39140625,101.231015625,1869915,18.0
815.130320072,98.00234375,101.2775,1881645,18.0
815.230692148,97.57734375,101.360640625,1873485,18.0
815.324598074,98.63984375,101.205515625,1893885,19.0
815.463771105,96.88671875,101.072703125,1860225,18.0
815.558882952,97.01953125,101.0809375,1862775,18.0
815.696888924,97.04609375,100.90775,1863285,18.0
815.790722132,96.78046875,100.905625,1858185,18.0
815.930158138,97.271875,100.733765625,1867620,18.0
816.022844076,96.86015625,100.5560625,1859715,18.0
816.176314116,96.846875,100.281140625,1859460,18.0
816.319052935,96.93984375,100.028265625,1861245,18.0
816.459111929,96.67421875,99.82771875,1856145,18.0
816.609035969,96.03671875,99.62478125,1843905,18.0
816.662508011,95.71796875,99.49090625,1837785,18.0
816.758543015,96.01015625,99.361546875,1843395,18.0
816.857100964,95.9171875,99.243609375,1841610,18.0
816.996434927,95.8640625,99.110796875,1840590,18.0
817.09059906,96.3421875,98.99578125,1849770,18.0
817.228423119,96.6078125,98.876515625,1854870,18.0
817.378420115,96.48828125,98.769734375,1852575,18.0
817.528118134,95.4921875,98.651265625,1833450,18.0
817.677369118,94.9875,98.516859375,1823760,18.0
817.74219203,95.7578125,98.406625,1838550,18.0
817.884783983,95.4921875,98.296125,1833450,18.0
818.025567055,95.465625,98.185625,1832940,18.0
818.163500071,95.7046875,98.0698125,1837530,18.0
818.258466959,95.00078125,97.934609375,1824015,18.0
818.409043074,95.4125,97.784265625,1831920,18.0
818.559592962,94.721875,97.660484375,1818660,18.0
818.712952137,94.57578125,97.531921875,1815855,18.0
818.852751017,95.040625,97.4089375,1824780,18.0
818.99197197,94.97421875,97.294453125,1823505,18.0
819.12894702,95.5453125,97.1921875,1834470,18.0
819.223109961,95.0140625,97.085140625,1824270,18.0
819.378921986,95.98359375,96.98871875,1842885,18.0
819.520039082,93.8453125,96.84846875,1801830,18.0
819.660968065,93.9515625,96.7140625,1803870,18.0
819.755872011,93.4734375,96.593203125,1794690,17.0
819.911859989,94.49609375,96.498109375,1814325,18.0
820.051680088,94.89453125,96.41390625,1821975,18.0
820.191822052,94.9078125,96.32784375,1822230,18.0
820.329229116,95.29296875,96.261171875,1829625,18.0
820.422618151,94.8546875,96.16475,1821210,18.0
820.562133074,94.86796875,96.074171875,1821465,18.0
820.655298948,89.10390625,95.8768125,1710795,16.0
820.794002056,87.24453125,95.65475,1675095,15.0
820.889521122,95.3328125,95.600828125,1830390,18.0
820.990767002,101.00390625,95.655546875,1939275,18.0
821.141556978,97.12578125,95.649703125,1864815,17.0
821.192852974,94.46953125,95.591265625,1813815,17.0
821.329841137,89.78125,95.42684375,1723800,16.0
